Currency1,Currency2,Correlation,Cointegration,Criticals,Ratio
MBLUSDT,STMXUSDT,0.8953584872748039,-4.46446618180962,-4.010486025915723,0.5540924348050607
ARDRUSDT,POWRUSDT,0.8651152982467374,-4.07122048758064,-4.010486025915723,0.494661921708185
POWRUSDT,STEEMUSDT,0.8563030240042002,-4.03510215754855,-4.010486025915723,0.8962217860647693
THETAUSDT,STORJUSDT,0.8544826994216127,-4.552514184158475,-4.010486025915723,2.819574352717907
ALGOUSDT,REEFUSDT,0.8473089654471617,-5.325046461913132,-4.010486025915723,78.57018611932509
ENJUSDT,ALICEUSDT,0.8385263142364271,-4.096399857407534,-4.010486025915723,0.2611181301326595
ARDRUSDT,PUNDIXUSDT,0.8353583964778282,-4.196356957125987,-4.010486025915723,0.19598698481561821
VITEUSDT,FIOUSDT,0.833511772130462,-5.233563955818338,-4.010486025915723,0.6974664679582713
RVNUSDT,OGNUSDT,0.8302135971189386,-4.183518454519056,-4.010486025915723,0.222
